cookTime,datePublished,description,image,ingredients,name,prepTime,recipeYield,url
,2006-04-21,"Turn to this miraculously delicious soup when you are feeling sick - beans, water, garlic, shallots, chiles. Total active prep time was under five minutes, the rest is just waiting and anticipating.
",http://www.101cookbooks.com/mt-static/images/food/soup_for_when_sick.jpg,"1 pound cranberry beans (like Borlotti)
8 cups of water
15 medium cloves of garlic, peeled and trimmed
2 big shallots (I might have used a white onion but didn't have one), sliced on the axis into thin crescents
2-3 dried smoked chiles (I used smoked serranos) but I suspect dried chipotles or even one or two chipotles from the can (in adobo sauce) would work nicely
2 teaspoons+  fine sea salt for seasoning
a drizzle of flavorful extra-virgin olive oil
a small handful of cilantro, chopped
a couple (optional) handfuls of a salty hard cheese, Parmesan, grated (I think my mystery cheese was actually Three Sisters Serena)",A Good Soup for the Sick,,Serves 4 to 6,http://www.101cookbooks.com/archives/001397.html
,2008-10-11,"A rich, hearty vegetarian mole recipe from Denis Cotter's new book. Seasonal beans, squash, and kale are baked in a rich, hearty chocolate and paprika-spiked mole. ",http://www.101cookbooks.com/mt-static/images/food/pumpkin_mole_recipe.jpg,"~1 1/2 cups (7 ounces) fresh borlotti beans
~1 1/2 cups (7 ounces) winter squash
olive oil
4 - 5  big leaves of kale (3 1/2 ounces)
2 tablespoons butter
1 medium onion, chopped
2 - 4 red jalapeno chiles, halved, seeded, and chopped
2 garlic cloves, chopped
1 pound of fresh plum tomatoes, chopped or 14-ounce can
2 teaspoons paprika
1 ounce of almonds, dark roasted and finely ground
2 ounces dark 70% dark chocolate, broken into pieces
salt",Borlotti Bean Mole with Roast Winter Squash,,Serves 4.,http://www.101cookbooks.com/archives/borlotti-bean-mole-with-roast-winter-squash-recipe.html
,2007-03-08,"My favorite mashed potato recipe - creamy mashed potatoes flecked with finely chopped greens and garlic. Adding a green like kale, and golden threads of drizzled olive oil is a great way to add color and nutritional umph to America's favorite starch-packed side dish.
",http://www.101cookbooks.com/mt-static/images/food/kalemashedpotatorecipe.jpg,"3 pounds potatoes, peeled and cut into large chunks
sea salt
4 tablespoons extra virgin olive oil
4 cloves garlic, minced
1 bunch kale, large stems stripped and discarded, leaves chopped
1/2+ cup warm milk or cream
freshly ground black pepper
5 scallions, white and tender green parts, chopped
1/4 cup freshly grated Parmesan, for garnish (opt)
fried shallots, for garnish (optional)",Kale and Olive Oil Mashed Potato Recipe,,Serves 6.,http://www.101cookbooks.com/archives/001566.html
PT,2008-10-06,"With all the pureed pumpkin I have in the freezer, I'm always looking for new and easy ways to use it. My goal is that by the...",http://static.thepioneerwoman.com/cooking/files/2008/10/Delicious-Nutritious-“Pumpkin-Butter”.jpg,"1 cup Pumpkin Puree
1 cup Plain, Nonfat Yogurt (vanilla Works Just As Well)
1 teaspoon (more If Desired) Pumpkin Pie Spice
1 cup (heaping) Powdered Sugar","Delicious, Nutritious “Pumpkin Butter”",PT10M,4,http://thepioneerwoman.com/cooking/2008/10/delicious-nutritious-pumpkin-butter/
,2009-07-06,"From the Big Sur Bakery cookbook, a seed-packed pocket bread recipe contributed by a good friend of the bakery. Sesame, sunflower, flax and poppy seeds, millet, oat bran, and a bit of beer impressively cram themselves into these delicious, hearty rolls.",http://www.101cookbooks.com/mt-static/images/food/big_sur_bakery_hide_bread.jpg,"5 cups all-purpose flour, plus extra flour for dusting
1/2 cup flax seeds
1/2 cup sesame seeds
2 cups oat bran
1/4 cup sunflower seeds
1/2 cup amaranth, quinoa, millet, or poppy seeds (or any combo of these)
2 tablespoons dulse flakes, or 1 teaspoon kosher salt
1 teaspoon baking soda
1/4 cup plus 2 tablespoons beer
2 1/2 cups buttermilk, half-and-half, milk, or water
unsalted butter, softened for serving",Big Sur Bakery Hide Bread Recipe,,,http://www.101cookbooks.com/archives/big-sur-bakery-hide-bread-recipe.html
PT,2008-02-13,"    But I have some bad news first. And what I'm about to tell you almost prevented me from posting this recipe altogether, b...",http://static.thepioneerwoman.com/cooking/files/2010/07/2262074186_2f7abc0554_o.jpg,"4 ounces, weight Unsweetened Baking Chocolate
1 cup Salted Butter, Softened
1-1/2 cup Sugar
1 teaspoon Vanilla Extract
4 whole Eggs
1 package Baked Pie Shell",French Silk Pie,PT30M,8,http://thepioneerwoman.com/cooking/2008/02/the_meal_of_love_part_iv_de-licious_chocolate_pie/
,2005-05-03,A soup inspired by a visit to Delfina restaurant.,http://www.101cookbooks.com/mt-static/images/food/souppaprika.jpg,"Paprika oil:
1/2 cup extra virgin olive oil
1 large clove of garlic, crushed
1 Tablespoon bittersweet paprika
1 teaspoon sweet smoked paprika
Cumin oil:
Toast 1 T. cumin seeds in a dry skillet until fragrant, a couple minutes over medium heat. Crush the toasted cumin with a mortar and pestle - or a spice grinder, knife or whatever you've got. Back to the skillet: add 1/4 cup extra-virgin olive oil to the skillet, let it heat up and add the crushed cumin seeds along with a few pinches of salt. Remove from heat and let sit for 10 or 15 minutes. 
Cumin croutons:
Preheat the oven to 400 degrees. Cut a small loaf of rye bread into crouton-sized cubes. In a medium bowl toss a couple handfuls of the rye cubes with the cumin oil until they are nicely coated. Place on a baking sheet in the oven for 15 minutes or so - until the croutons are crisp and starting to brown.",Butterscotch Calypso Bean Soup,,Makes 4-6 servings.,http://www.101cookbooks.com/archives/000163.html
,2005-05-28,101 Cookbooks: From the Archives: Fresh Apple Salsa Recipe,http://www.101cookbooks.com/mt-static/images/food/applesalsa.jpg,"2 tart apples, locally grown if possible
4 tablespoons lime juice
1 fresh jalapeno chile
1 fresh Anaheim chile
1/2 medium onion, finely chopped
Handful of cilantro, roughly chopped
1/2 cup (2 ounces) walnuts, coarsely chopped and lightly toasted
2 tablespoons peeled and finely slivered fresh ginger
1/4 teaspoon salt",Fresh Apple Salsa,,Serves 4 to 6.,http://www.101cookbooks.com/archives/000170.html
,2006-11-08,"This mashed sweet potato recipe is an all-time favorite, perfect for Thanksgiving. Plump vanilla beans, cream, orange zest, and butter are combined with sweet potatoes that have been roasted in the oven. A quick whirl in the food processor produces a smooth, creamy, subtly sweet puree haunted by the delicious vanilla and citrus undertones. The consistency is that of a thick frosting.",http://www.101cookbooks.com/mt-static/images/food/mashedsweetpotatorecipe.jpg,"1 1/2 pounds sweet potatoes, cleaned and left a bit damp
1/2 cup plus 3 tablespoons heavy cream
1/3 vanilla bean, split lengthwise and seeds scraped
1 teaspoon grated orange zest (optional)
2 tablespoons unsalted butter, at room temperature
kosher salt
white pepper in a mill
4 star anise
1/2 tablespoon juniper berries
1 tablespoon plus 1 teaspoon cardamom
1 teaspoon allspice
1 medium cinnamon stick, crushed, or 1 teaspoon ground cinnamon
1 teaspoon whole cloves
1/3 vanilla bean, split lengthwise, seeds scraped
2 pieces dried orange peel, optional
1 cup oil (heidi note: I used olive oil - a mild tasting one) - He uses canola in some of his other recipes.",Vanilla Mashed Sweet Potato Recipe,,Serves four.Makes 1 cup.,http://www.101cookbooks.com/archives/000589.html
,2006-11-20,"Made from carrots, this is a healthy, simple and delicious alternative to deep-fried potatoes. These baked oven fries (made from carrots) are simply roasted with olive oil and a sprinkling of sea salt. 
",http://www.101cookbooks.com/mt-static/images/food/bakedcarrotfries1.jpg,"a big bunch of farmers' market carrots, washed, trimmed
extra virgin olive oil
sea salt
4 ounces organic tofu
1/4 cup orange juice
quick squeeze of lime
scant 1 teaspoon adobo sauce from a can of chipotle chiles
1/2 teaspoon fine grain sea salt",Baked Carrot Oven Fries,,,http://www.101cookbooks.com/archives/001529.html
,2009-01-28,"A seaweed risotto recipe inspired by a trip to Chile. This version calls for dried nori seaweed, pearled barley, lots of finely chopped spinach, and a blend of cheeses. ",http://www.101cookbooks.com/mt-static/images/food/seaweed_risotto_recipe.jpg,"3 tablespoons extra-virgin olive oil
1 large yellow onion, chopped
2 medium shallots, chopped
3 cloves garlic, chopped
3/4 teaspoon fine-grain sea salt
2 cups lightly pearled barley or pearled farro
1 cup good-quality dry white wine
6 cups water or lightly-flavored vegetable broth
1 lemon, zest and some juice
1/3 cup mascarpone cheese
1/2 cup freshly grated Parmesan cheese
1/4 ounce dried nori seaweed, toasted
1 1/2 cups finely chopped spinach
1 cup walnuts, toasted",Seaweed Risotto Recipe,,,http://www.101cookbooks.com/archives/seaweed-risotto-recipe.html
,2008-05-08,"A quick and delicious dumpling soup - tender, translucent pasta pillows, pale green from their pea-stuffed bellies, are buoyed by yellow lentils in a simple clear broth. Golden puddles of olive oil are suspended across the surface, pooling in various cracks and crevices.",http://www.101cookbooks.com/mt-static/images/food/dumpling_soup_recipe.jpg,"a splash of extra virgin olive oil, plus more to finish
1 large onion, chopped
1 vegetable bouillon cube, crushed
4 cups water
fine grain sea salt, to taste
4 cups cooked yellow split peas*
1/4 cup fresh herbs (chives or dill), see headnotes
16 dumplings (or stuffed fresh pasta equivalent)
1/4 cup freshly grated Parmesan cheese",Big Slurp Dumpling Soup Recipe,,Serves four.,http://www.101cookbooks.com/archives/big-slurp-dumpling-soup-recipe.html
,2008-06-02,"Itty-bitty pasta plays the lead role in this simple orzo soup recipe with an egg drop soup style broth that has been boosted with flecks of chard and topped with vibrant, fire-roasted tomatoes. It's finished with an all-important thread of golden olive oil and a flurry of grated cheese. ",http://www.101cookbooks.com/mt-static/images/food/orzo_soup_recipe.jpg,"7 cups vegetable broth
1 1/2 cups whole wheat orzo (or other small pasta i.e. pastina)
2 cups chard or spinach, chopped
1 14-ounce can of  fire-roasted diced tomatoes, well drained
1 teaspoon red pepper flakes.
good quality extra virgin olive oil
3 egg whites
fine grain sea salt
some grated Parmesan cheese (to finish)",Orzo Soup Recipe,,Makes 4-6 servings.,http://www.101cookbooks.com/archives/orzo-soup-recipe.html
PT,2009-02-20,"(For Part 1 of the recipe, click here.)    Wow. If I'd known how difficult it would be for me to successfully whip up a batch...",http://static.thepioneerwoman.com/cooking/files/2010/07/3303593380_a4c07e0196.jpg," FOR SALAD DRESSING:
2 cloves Fresh Garlic (peeled)
4 whole Anchovy Fillets
2 Tablespoons (up To 3 Tablespoons) Dijon Mustard
1 Tablespoon Balsamic (or Red Wine) Vinegar
1/2 whole Lemon, Juiced
1/2 cup Olive Oil
1 teaspoon Worcestershire Sauce
1 dash Salt
 Generous Black Pepper, to taste
1/4 cup Freshly Grated Parmesan Cheese
 _____
 FOR CROUTONS:
1/2 loaf Crusty French Bread
1/4 cup Olive Oil
2 cloves Fresh Garlic (peeled)
 Salt To Taste
 _____
 For Salad
 Dry Hearts Of Romaine Lettuce
 Fresh Parmesan Cheese",My Caesar Salad. Part 2.,PT1H30M,4,http://thepioneerwoman.com/cooking/2009/02/my-caesar-salad-part-2/
,2005-03-03,"This is a spinach mushroom quiche recipe that features no dairy, no eggs, and no butter. Sounds like it would lack something in the taste department, right? Wrong. It was delicious.",http://www.101cookbooks.com/mt-static/images/food/spinach_mushroom_quiche_recipe.jpg,"For the crust: 
1/2 cup rolled oats
3 tablespoons sesame seeds 
1 cup whole wheat pastry flour or whole spelt flour 
1/2 teaspoon baking powder 
3/4 teaspoon sea salt 
1/2 teaspoon freshly milled black pepper 
1/3 cup unflavored soy milk or water 
1/3 cup light sesame oil or pure olive oil plus more for brushing the pan
For the filling: 
7 tablespoons extra-virgin olive oil
1 cup finely diced onion
10 ounces white button mushrooms, thinly sliced
2 tablespoons dry white wine or water 
1 1/2 teaspoons coarse sea salt
3 garlic cloves, slice crosswise into 1/8-inch rounds 
10 to 12 fresh basil leaves, chopped 
1/2 teaspoon finely chopped fresh thyme leaves 
Pinch hot red pepper flakes 
1 pound firm tofu, rinsed and patted dry 
2 tablespoons freshly squeezed lemon juice 
1 tablespoon rice vinegar 
2 pounds fresh spinach 
Paprika for dusting",Spinach Mushroom Quiche Recipe,,,http://www.101cookbooks.com/archives/000148.html
,2007-11-25,"Plump raviolis tossed with toasted hazelnuts, sauteed ribbons of chard, and caramelized onions are at the heart of this ravioli salad recipe. The colorful platter is finished off with a dusting of cheese, snipped chives, and lemon zest. You can prepare most of the components ahead of time.",http://www.101cookbooks.com/mt-static/images/food/raviolisalad_winter.jpg,"3/4 lb. raviolis (see headnotes)
2-3 tablespoons extra virgin olive oil, divided
fine grain sea salt
2 yellow onions, thinly sliced
1 bunch swiss chard, deveined and cut into 1/2-inch ribbons
1/4 cup Parmesan cheese, freshly grated
1/2 cup hazelnuts, toasted and chopped
1 cup butternut squash ""croutons""
zest of one lemon
1/4 cup chives, minced ",Hazelnut &amp; Chard Ravioli Salad Recipe,,Serves 6.,http://www.101cookbooks.com/archives/hazelnut-chard-ravioli-salad-recipe.html
,2007-01-06,"A healthy, simple and delicious alternative to deep-fried potatoes. These baked oven fries are finished with salt, pepper, a spritz of lime juice, and a dusting of Parmesan cheese.",http://www.101cookbooks.com/mt-static/images/food/ovenfries07.jpg,"1 1/2 pounds small potatoes, cut into wedges
3 tablespoons extra virgin olive oil
sea salt
freshly ground pepper
1 lime
1/3 cup Parmesan cheese, grated",Black Pepper and Lime Oven Fries,,Serves 4 - 6.,http://www.101cookbooks.com/archives/001545.html
